iter	Passed	Remaining
0	9	9084
1	17	8914
2	24	8079
3	31	7890
4	39	7835
5	47	7918
6	56	8024
7	63	7815
8	69	7647
9	75	7495
10	82	7382
11	88	7318
12	95	7216
13	101	7137
14	107	7088
15	114	7028
16	120	6972
17	126	6901
18	132	6852
19	138	6805
20	143	6699
21	149	6635
22	154	6565
23	159	6501
24	164	6434
25	170	6374
26	175	6325
27	181	6295
28	185	6227
29	191	6206
30	198	6201
31	202	6124
32	209	6130
33	214	6103
34	220	6087
35	225	6034
36	231	6017
37	236	5998
38	242	5965
39	245	5903
40	251	5893
41	257	5869
42	262	5841
43	268	5830
44	274	5823
45	279	5802
46	285	5790
47	291	5773
48	297	5771
49	302	5750
50	307	5720
51	312	5689
52	318	5690
53	322	5653
54	328	5640
55	333	5621
56	340	5632
57	343	5583
58	349	5569
59	355	5563
60	358	5522
61	363	5504
62	370	5505
63	375	5497
64	381	5487
65	387	5480
66	394	5493
67	398	5455
68	404	5460
69	411	5464
70	417	5465
71	421	5429
72	426	5418
73	432	5417
74	439	5419
75	445	5412
76	450	5406
77	457	5408
78	463	5401
79	469	5400
80	475	5394
81	481	5387
82	486	5374
83	492	5371
84	498	5363
85	502	5335
86	508	5332
87	514	5328
88	520	5323
89	526	5319
90	529	5289
91	535	5285
92	541	5278
93	548	5286
94	555	5287
95	562	5295
96	569	5303
97	575	5296
98	581	5291
99	587	5290
100	593	5286
101	597	5262
102	603	5259
103	609	5255
104	616	5250
105	619	5223
106	625	5218
107	632	5220
108	637	5214
109	644	5211
110	650	5208
111	656	5206
112	660	5184
113	666	5179
114	669	5154
115	676	5151
116	683	5157
117	688	5147
118	696	5153
119	702	5154
120	709	5156
121	715	5150
122	721	5143
123	727	5141
124	734	5140
125	740	5134
126	746	5132
127	752	5128
128	759	5127
129	765	5123
130	771	5117
131	779	5126
132	786	5127
133	793	5130
134	800	5128
135	807	5129
136	814	5128
137	820	5127
138	827	5124
139	834	5128
140	842	5130
141	848	5127
142	856	5135
143	862	5128
144	868	5122
145	874	5116
146	880	5111
147	886	5103
148	892	5096
149	897	5088
150	903	5078
151	908	5070
152	915	5067
153	921	5062
154	927	5056
155	934	5053
156	940	5048
157	943	5030
158	949	5022
159	955	5016
160	962	5013
161	968	5007
162	974	5004
163	981	5003
164	987	4999
165	992	4985
166	999	4985
167	1005	4979
168	1010	4969
169	1016	4965
170	1023	4961
171	1029	4958
172	1035	4951
173	1041	4944
174	1047	4937
175	1053	4932
176	1059	4925
177	1064	4916
178	1070	4910
179	1075	4901
180	1081	4895
181	1086	4881
182	1091	4873
183	1097	4868
184	1103	4863
185	1109	4857
186	1113	4842
187	1119	4836
188	1125	4829
189	1131	4822
190	1136	4815
191	1143	4811
192	1148	4802
193	1153	4791
194	1158	4784
195	1164	4778
196	1172	4777
197	1176	4763
198	1182	4759
199	1187	4750
200	1194	4746
201	1201	4744
202	1206	4738
203	1212	4732
204	1216	4716
205	1222	4711
206	1228	4705
207	1234	4700
208	1240	4693
209	1245	4686
210	1252	4683
211	1259	4680
212	1265	4674
213	1271	4671
214	1278	4668
215	1284	4663
216	1289	4651
217	1295	4647
218	1303	4649
219	1310	4646
220	1316	4641
221	1323	4636
222	1329	4631
223	1335	4625
224	1342	4623
225	1348	4619
226	1355	4615
227	1362	4613
228	1370	4613
229	1376	4609
230	1383	4605
231	1391	4605
232	1397	4601
233	1404	4596
234	1411	4595
235	1418	4591
236	1424	4585
237	1430	4581
238	1438	4578
239	1443	4571
240	1450	4569
241	1457	4564
242	1461	4553
243	1468	4549
244	1474	4544
245	1482	4542
246	1487	4534
247	1494	4531
248	1500	4524
249	1506	4519
250	1513	4515
251	1518	4507
252	1525	4505
253	1531	4497
254	1536	4489
255	1544	4489
256	1550	4483
257	1557	4480
258	1564	4475
259	1570	4471
260	1578	4469
261	1585	4465
262	1595	4470
263	1601	4463
264	1608	4462
265	1616	4459
266	1621	4452
267	1628	4448
268	1635	4444
269	1642	4441
270	1648	4435
271	1655	4431
272	1663	4428
273	1669	4423
274	1675	4417
275	1681	4410
276	1687	4405
277	1693	4397
278	1698	4389
279	1704	4382
280	1710	4375
281	1716	4369
282	1721	4361
283	1726	4352
284	1732	4346
285	1737	4338
286	1743	4331
287	1747	4321
288	1753	4314
289	1759	4308
290	1765	4302
291	1772	4297
292	1778	4291
293	1784	4285
294	1788	4275
295	1796	4272
296	1802	4267
297	1809	4262
298	1815	4257
299	1821	4250
300	1827	4243
301	1833	4238
302	1839	4231
303	1845	4225
304	1851	4219
305	1858	4214
306	1863	4207
307	1869	4201
308	1875	4195
309	1882	4189
310	1888	4183
311	1893	4176
312	1900	4171
313	1906	4164
314	1911	4156
315	1917	4150
316	1923	4145
317	1930	4139
318	1933	4128
319	1939	4120
320	1946	4117
321	1952	4111
322	1958	4105
323	1965	4100
324	1971	4093
325	1976	4087
326	1982	4081
327	1988	4074
328	1993	4066
329	2001	4063
330	2008	4059
331	2014	4053
332	2021	4049
333	2028	4045
334	2034	4039
335	2040	4032
336	2047	4028
337	2054	4023
338	2060	4017
339	2065	4009
340	2071	4004
341	2078	3998
342	2084	3992
343	2090	3987
344	2096	3980
345	2101	3973
346	2106	3964
347	2112	3958
348	2119	3953
349	2124	3946
350	2131	3940
351	2137	3934
352	2143	3928
353	2149	3922
354	2156	3917
355	2162	3911
356	2168	3905
357	2173	3898
358	2178	3889
359	2185	3885
360	2191	3879
361	2198	3874
362	2205	3870
363	2211	3863
364	2217	3858
365	2224	3853
366	2230	3846
367	2235	3839
368	2242	3834
369	2247	3827
370	2254	3821
371	2260	3815
372	2266	3809
373	2272	3803
374	2278	3797
375	2283	3790
376	2290	3784
377	2295	3777
378	2302	3772
379	2310	3769
380	2317	3764
381	2323	3758
382	2330	3753
383	2336	3748
384	2343	3743
385	2349	3737
386	2356	3732
387	2362	3725
388	2368	3719
389	2373	3712
390	2379	3705
391	2386	3701
392	2392	3695
393	2400	3691
394	2406	3685
395	2412	3679
396	2419	3674
397	2424	3667
398	2430	3660
399	2436	3654
400	2442	3648
401	2447	3641
402	2453	3634
403	2461	3630
404	2467	3624
405	2477	3624
406	2483	3618
407	2489	3611
408	2495	3605
409	2500	3598
410	2506	3592
411	2513	3586
412	2518	3579
413	2524	3573
414	2530	3567
415	2536	3561
416	2543	3556
417	2549	3550
418	2556	3545
419	2562	3538
420	2570	3534
421	2576	3528
422	2581	3521
423	2588	3516
424	2595	3511
425	2602	3506
426	2609	3502
427	2616	3496
428	2622	3490
429	2629	3485
430	2636	3480
431	2642	3474
432	2649	3469
433	2656	3464
434	2663	3459
435	2669	3453
436	2675	3447
437	2682	3442
438	2689	3436
439	2697	3433
440	2703	3427
441	2709	3420
442	2716	3415
443	2723	3409
444	2730	3406
445	2737	3400
446	2744	3395
447	2751	3389
448	2757	3383
